"Tabela 7395 - Rendimento médio mensal real domiciliar per capita"
"Variável - Rendimento médio mensal real domiciliar per capita"
"Nível";"Cód.";"Brasil, Grande Região e Unidade da Federação";"Ano"
"O rendimento real é obtido conforme deflacionamento especificado nas Notas Técnicas da PNAD Contínua.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
A partir de 30 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
